variable,definition
mid_hit_rate_neutral,Hit rate on neutral-cue probes.
mid_premature_prop,Proportion of probes with a too-soon (anticipatory) press.
mid_no_response_prop,Proportion of probes with no press within the grace window.
food_mid_mean_rt_ms,Mean target RT (ms) on food-cue probes; raw food-cued vigor signal.
food_mid_median_rt_ms,Median target RT (ms) on food-cue probes.
neutral_mid_mean_rt_ms,Mean target RT (ms) on neutral-cue probes.
neutral_mid_median_rt_ms,Median target RT (ms) on neutral-cue probes.
n_food_rt_valid,Food probes with a valid target RT (used for vigor eligibility).
n_neutral_rt_valid,Neutral probes with a valid target RT.
food_minus_neutral_rt_ms,"Food minus neutral mean target RT; an individual-difference contrast, NOT a within-subject manipulation (no control trials)."
bonus_points_total,Total mini-MID bonus points earned.
staircase_final_window_ms,Adaptive response window (ms) on the last probe; basis for floor/ceiling QC flags.
staircase_mean_window_ms,Mean adaptive response window (ms) across probes.
post_food_choice_rt,Mean bandit choice RT (s) on the usable trial immediately after each food probe.
post_neutral_choice_rt,Mean bandit choice RT (s) on the usable trial immediately after each neutral probe.
post_food_minus_neutral_choice_rt,post_food_choice_rt minus post_neutral_choice_rt.
post_food_optimal_prop,Optimal-choice rate on the usable trial immediately after each food probe.
post_neutral_optimal_prop,Optimal-choice rate on the usable trial immediately after each neutral probe.
post_food_n_trials,Usable post-food-probe bandit trials contributing to post-food measures.
post_neutral_n_trials,Usable post-neutral-probe bandit trials contributing to post-neutral measures.
post_food_win_stay,Win-stay on the post-food-probe trial: repeat after a rewarded post-probe trial. Few transitions; interpret with care.
post_food_lose_shift,Lose-shift on the post-food-probe trial: switch after a non-rewarded post-probe trial. Few transitions.
post_food_n_win_stay,Rewarded post-food-probe transitions available for post_food_win_stay.
post_food_n_lose_shift,Non-rewarded post-food-probe transitions available for post_food_lose_shift.
food_cued_vigor_z,Across-subject -z of food_mid_mean_rt_ms (higher = faster food responding = more vigor).
food_cued_vigor_median_z,Across-subject -z of food_mid_median_rt_ms.
food_cued_vigor_residualized_z,"PRIMARY hybrid vigor index: food RT residualized on bandit median RT, MID no-response, and premature rates, sign-flipped and z-scored across subjects."
qc_flags,Semicolon-separated QC flags from the USER SETTINGS thresholds.
qc_n_flags,Number of QC flags for this file.
recommended_exclusion,"True if a flag compromises interpretability (few trials, near-random asymptote, broken MID staircase, or excessive anticipation)."
exclusion_reason,Human-readable reasons behind recommended_exclusion.
phase,bandit_phase_summary / trial export: 1-indexed reversal phase (phase 1 = before any reversal).
n_trials,bandit_phase_summary: usable bandit trials in the phase.
optimal_prop,bandit_phase_summary: optimal-choice accuracy within the phase.
reward_rate,bandit_phase_summary: reward rate within the phase.
mean_choice_rt,bandit_phase_summary: mean choice RT (s) within the phase.
cue_type,mid_cue_summary: food or neutral.
n_probes,mid_cue_summary: probes of this cue type.
hit_rate,mid_cue_summary: hit rate for this cue type.
mean_target_rt_ms,mid_cue_summary: mean target RT (ms) for this cue type.
median_target_rt_ms,mid_cue_summary: median target RT (ms) for this cue type.
